Title,Year,Available,Available On,Match Type
War Horse,2011,True,JeSTeRPLeX,Title+Year
Assassin's Creed,2016,True,Z'Films,Title+Year
The Mask of Zorro,1998,True,JeSTeRPLeX,Title+Year
RED,2010,True,Z'Films,Title+Year
Marcel the Shell with Shoes On,2021,True,TheBox,Fuzzy
Turning Red,2022,True,JeSTeRPLeX,Title+Year
ParaNorman,2012,True,JeSTeRPLeX,Title+Year
Frankenweenie,2012,True,JeSTeRPLeX,Fuzzy
Kronk's New Groove,2005,True,"RipItGood, JeSTeRPLeX",Title+Year
Berserk,1997,False,—,None
Time Masters,1982,False,—,None
Cowboy Bebop,1998,False,—,None
Paprika,2006,False,—,None
The Florida Project,2017,False,—,None
I Care a Lot,2020,False,—,None
Zero Dark Thirty,2012,False,—,None
A Streetcar Named Desire,1951,False,—,None
Green Room,2015,True,TheBox,Fuzzy
Sicario,2015,False,—,None
Collateral,2004,False,—,None
Thelma & Louise,1991,True,TheBox,Title+Year
A Bronx Tale,1993,True,TheBox,Title+Year
Some Like It Hot,1959,True,JeSTeRPLeX,Title+Year
Cool Hand Luke,1967,True,JeSTeRPLeX,Title+Year
Miami Vice: Brother's Keeper,1984,False,—,None
Life,2017,True,TheBox,Title+Year
The Player,1992,False,—,None
Tinker Tailor Soldier Spy,1979,False,—,None
The Third Man,1949,False,—,None
North by Northwest,1959,True,TheBox,Title+Year
Changeling,2008,True,"RipItGood, TheBox",Title+Year
Blazing Saddles,1974,True,"RipItGood, TheBox",Title+Year
Singin' in the Rain,1952,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Leaving Las Vegas,1995,True,TheBox,Title+Year
Memories,1995,True,TheBox,Title+Year
The Craft,1996,False,—,None
Stir of Echoes,1999,False,—,None
The Right Stuff,1983,True,"TheBox, JeSTeRPLeX",Title+Year
The Midnight Sky,2020,True,JeSTeRPLeX,Title+Year
Life Itself,2014,False,—,None
The Triplets of Belleville,2003,True,TheBox,Title+Year
The River Wild,1994,True,TheBox,Title+Year
Moonlighting,1982,False,—,None
Kung Pow: Enter the Fist,2002,False,—,None
Black Christmas,1974,False,—,None
Wild at Heart,1990,False,—,None
The Eternal Daughter,2022,False,—,None
An American Werewolf in London,1981,True,TheBox,Title+Year
Communion,1989,False,—,None
Q,1982,False,—,None
Poltergeist,1982,True,TheBox,Title+Year
Bernie,2011,False,—,None
Nosferatu the Vampyre,1979,True,TheBox,Title+Year
Ronin,1998,True,TheBox,Title+Year
The Fog,1980,True,TheBox,Title+Year
The Freshman,1990,False,—,None
My Dinner with Andre,1981,False,—,None
Assassination Nation,2018,True,TheBox,Title+Year
Rent,2005,True,"RipItGood, TheBox",Title+Year
She's Having a Baby,1988,False,—,None
Chinatown,1974,True,TheBox,Title+Year
The Tree of Life,2011,True,"TheBox, JeSTeRPLeX",Title+Year
Solaris,1972,False,—,None
Lars and the Real Girl,2007,True,TheBox,Title+Year
Vampires,1998,True,TheBox,Title+Year
Sorcerer,1977,True,TheBox,Title+Year
Drag Me to Hell,2009,False,—,None
"One Sings, the Other Doesn't",1977,True,TheBox,Title+Year
Ready or Not,2019,True,TheBox,Title+Year
Girlhood,2014,False,—,None
C'mon C'mon,2021,True,TheBox,Title+Year
Once Upon a Time in the West,1968,True,"TheBox, JeSTeRPLeX",Title+Year
The Changeling,1980,False,—,None
Don't Look Now,1973,True,TheBox,Title+Year
Senseless,1998,True,TheBox,Title+Year
F for Fake,1973,False,—,None
Dances with Wolves,1990,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Wild,2014,False,—,None
Constantine,2005,True,"RipItGood, TheBox",Title+Year
Prospect,2018,False,—,None
One Point O,2004,False,—,None
The Virgin Suicides,1999,True,TheBox,Fuzzy
The Terminal,2004,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Lost World: Jurassic Park,1997,True,"TheBox, JeSTeRPLeX",Title+Year
Munich,2005,True,RipItGood,Title+Year
Empire of the Sun,1987,True,JeSTeRPLeX,Title+Year
Duel,1971,False,—,None
Twilight Zone: The Movie,1983,False,—,None
The Post,2017,False,—,None
